,Unnamed: 0,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
106,147308,2.01504E+11,2015,4,25,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in the Altur neighborhood.,"04/25/2015: An assailant drove a car into a group of Israeli Border Police officers in E-Tur neighborhood, East Jerusalem, West Bank and Gaza Strip. Four officers were wounded in the attack. No group claimed responsibility for the incident; however, authorities identified the assailant as Fadi Saleh, a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Suspect in Saturday's vehicular terror attack confirmed as Palestinian man, 32 from Shuafat,"" Jerusalem Post, April 26, 2015.","""Four Police Officers Wounded in Jerusalem Car Ramming Terror Attack,"" Algemeiner.com, April 26, 2015.",,START Primary Collection,0,0,0,0,
107,148105,2.01505E+11,2015,5,14,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,0,,"05/14/2015: An assailant drove a vehicle into a group Israeli civilians at a hitchhiking post in Alon Shvut junction, West Bank. Four students were injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as a Palestinian Extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A black Subaru sedan was used in the attack.,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Suspected terror attack: Four hurt in hit and,"" Ynet News, May 15, 2015.","""Two Injured in Jerusalem Car Terror Attack,"" Israel National News, May 20, 2015.","""4 wounded when terrorist drives car into hitchhiking post,"" Israel Hayom, May 15, 2015.",START Primary Collection,0,0,0,0,
108,148348,2.01505E+11,2015,5,20,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in Altur neighborhood,"05/20/2015: An assailant targeted Border Police officers with a vehicle in A-Tur neighborhood, Jerusalem city, West Bank, West Bank and Gaza Strip. The assailant was killed and at least two officers were injured in the attack. No group claimed responsibility for the incident; however, a police official identified the assailant as Amran Abu Dhein and stated that he was affiliated with Hamas (Islamic Resistance Movement).",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""Palestinian driver rams 2 police, shot dead: Israel,"" Agence France Presse -- English, May 20, 2015.","""Terrorist shot dead after running down 2 Border Police officers in east Jerusalem,"" Jerusalem Post, May 20, 2015.","""Soldier recalls death of Jerusalem attacker,"" Ynet News, May 20, 2015.",START Primary Collection,0,0,0,0,
110,150035,2.01506E+11,2015,6,30,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kalandiya,31.861471,35.208428,1,0,,"06/30/2015: An assailant attempted to run over Israel Defense Forces (IDF) soldiers at a checkpoint with a vehicle in Kalandiya, West Bank. The assailant was shot by security forces and wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Security forces shoot, wound Palestinian at Qalandiya checkpoint,"" Ynet News, June 30, 2015.","""Terrorist Attack Thwarted Near Jerusalem,"" Israel National News, June 30, 2015.",,START Primary Collection,0,0,0,0,
113,151553,2.01508E+11,2015,8,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Shilo,32.049988,35.289762,1,1,,"08/06/2015: An assailant drove his vehicle into a group of Israel Defense Forces (IDF) soldiers near Shiloh junction, West Bank. Three soldiers were injured in the attack and the assailant was injured when the soldiers opened fire. No group claimed responsibility for the incident; however, sources identified the assailant as Raid Mohammed Badwan, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,4,0,1,0,,,,,0,,,,,,,,,,,,,,,,The victims included Lieutenant Daniel Elvaz.,"""Palestinian strikes three IDF soldiers with vehicle in West Bank terror attack,"" Jerusalem Post, August 6, 2015.","""Israeli man lightly wounded in stabbing near roadblock north of Jerusalem,"" Haaretz, August 9, 2015.","""Three IDF soldiers wounded in vehicular attack,"" Ynet News, August 6, 2015.",START Primary Collection,0,0,0,0,
116,152495,2.01508E+11,2015,8,29,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Hebron,31.530243,35.094162,1,1,,"08/29/2015: An assailant drove his vehicle into Israel Defense Forces (IDF) soldiers near Hebron, West Bank. One soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Israeli soldier lightly wounded in suspected vehicular attack near Hebron,"" Haaretz, August 29, 2015.","""Suspected attempt at vehicular attack prompts soldiers to fire at Palestinian vehicle,"" Ynet News, August 29, 2015.","""IDF soldier lightly injured after being hit by vehicle near Hebron,"" i24news, August 29, 2015.",START Primary Collection,0,0,0,0,
118,153957,2.0151E+11,2015,10,7,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Maale Adumim,31.77347,35.298909,1,0,,"10/07/2015: An assailant rammed his vehicle into an Israeli Border Police checkpoint in Maale Adumim area, West Bank and Gaza Strip. At least three people, two police officers and the assailant, were wounded in the attack. No group claimed responsibility; however, sources identified the assailant as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,3,0,1,-9,,,,It is unknown if any property was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Palestinian car-ramming attack injures 2 Israeli police officers,"" JTA, October 7, 2015.",,,START Primary Collection,0,0,0,0,
121,154523,2.0151E+11,2015,10,20,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,1,The incident occurred at the Gush Etzion junction.,"10/20/2015: An assailant in a vehicle rammed into Israeli civilians at Gush Etzion junction near Alon Shvut, West Bank. Following the initial attack, the assailant exited the vehicle and attempted to stab the civilians. The assailant was killed and at least two people were injured in the ensuing clash. No group claimed responsibility; however, sources identified the assailant, Hamzeh Moussa al-Imla, as a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and a vehicle were used in the attack.,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""2 Israelis Wounded in Car-Ramming Attack at Gush Etzion Junction,"" Algemeiner.com, October 20, 2015.","""Car attack injures 2 Israeli soldiers, driver killed,"" Qatar Peninsula, October 20, 2015.","""TWO PALESTINIAN TEENS SHOT DEAD IN HEBRON AFTER ALLEGED ATTACK ON SOLDIER,"" NAM News Network, October 21, 2015.",START Primary Collection,0,0,0,0,
122,154558,2.0151E+11,2015,10,21,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ofra,31.955101,35.260324,1,1,,"10/21/2015: An assailant rammed a vehicle into an Israeli Border Police checkpoint near Ofra settlement, West Bank. At least one police officer was injured in the attack. No group claimed responsibility; however, sources identified the assailant as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,0,1,3,Minor (likely < $1 million),-99,A checkpoint was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Five West Bank terrorist attacks leave six Israelis wounded. Eisenkot: There is no clear solution to this problem,"" The Jerusalem Post, October 22, 2015.","""1 Israeli Lightly Wounded in Palestinian Car-Ramming Attack,"" Algemeiner.com, October 21, 2015.","""Suspected Car Attack in Samaria,"" Israel National News, October 21, 2015.",START Primary Collection,0,0,0,0,
123,154561,2.0151E+11,2015,10,21,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Bayt Umar,31.626705,35.104968,1,0,,"10/21/2015: Assailants threw rocks at an Israel Defense Forces (IDF) vehicle in Bayt Umar town, West Bank. As the soldiers exited their vehicle to investigate, another assailant ran them over in a vehicle. At least five people, four soldiers and one assailant, were injured in the attack. No group claimed responsibility; however, sources identified the assailants as Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,5,0,1,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Five soldiers wounded in car-ramming terrorist attack in West Bank,"" Jerusalem Post, October 21, 2015.","""Female soldier stabbed, critically wounded by two assailants,"" Ynet News, October 21, 2015.","""4 Israeli soldiers hurt, one seriously, in West Bank car-ramming attack,"" JTA, October 21, 2015.",START Primary Collection,0,0,0,0,
